Month,Region,Crop,Crop_cdl,ETc_mean_in,NIWR_mean_in,ETc_mean_mm,NIWR_mean_mm
4,27.0,Grain (Winter),Winter Wheat,2.601307442902733,1.5636245323505351,66.07320904972941,39.71606312170359
5,27.0,Grain (Winter),Winter Wheat,5.26035126574791,3.2292565787186795,133.6129221499969,82.02311709945445
6,27.0,Grain (Winter),Winter Wheat,8.370700972625638,7.072593039153429,212.6158047046912,179.6438631944971
7,27.0,Grain (Winter),Winter Wheat,8.973927094856672,8.781669873060519,227.93774820935943,223.0544147757372
Season,27.0,Grain (Winter),Winter Wheat,28.186570883377897,21.03001819805617,715.9389004377986,534.1624622306267
4,27.0,Alfalfa Hay,Alfalfa,3.260762710778482,2.205835697408685,82.82337285377344,56.028226714180605
5,27.0,Alfalfa Hay,Alfalfa,6.5995065530252415,5.124483117779781,167.6274664468411,130.16187119160642
6,27.0,Alfalfa Hay,Alfalfa,6.731393246103693,5.830852892111519,170.9773884510338,148.10366345963257
7,27.0,Alfalfa Hay,Alfalfa,8.85675568847832,8.581052289637608,224.9615944873493,217.9587281567952
8,27.0,Alfalfa Hay,Alfalfa,6.426378473831562,6.1831871681536414,163.23001323532168,157.05295407110248
9,27.0,Alfalfa Hay,Alfalfa,4.457376884288178,3.939084478958269,113.21737286091972,100.05274576554002
10,27.0,Alfalfa Hay,Alfalfa,1.1695877797365593,0.429835958372036,29.707529605308604,10.917833342649711
Season,27.0,Alfalfa Hay,Alfalfa,37.50176133624203,32.294331602421536,952.5447379405476,820.276022701507
3,27.0,Grain (Spring),Spring Wheat,1.0628823725149423,-0.0103166849951448,26.99721226187953,-0.2620437988766784
4,27.0,Grain (Spring),Spring Wheat,1.7242711572895004,0.9737283450606556,43.79648739515331,24.73269996454065
5,27.0,Grain (Spring),Spring Wheat,4.519191300451697,2.9133904002211053,114.78745903147308,74.00011616561606
6,27.0,Grain (Spring),Spring Wheat,8.213852336809278,7.206853391057573,208.63184935495565,183.05407613286235
7,27.0,Grain (Spring),Spring Wheat,9.931548514351784,9.74703407487462,252.26133226453533,247.57466550181533
8,27.0,Grain (Spring),Spring Wheat,3.350987358636119,3.23628919502667,85.11507890935742,82.20174555367741
Season,27.0,Grain (Spring),Spring Wheat,28.80273304005332,24.06697872124548,731.5894192173544,611.3012595196351
5,27.0,Corn (Silage),Corn,4.299368794681292,2.9161579923916694,109.2039673849048,74.0704130067484
6,27.0,Corn (Silage),Corn,4.238455445241038,3.221393535330491,107.65676830912236,81.82339579739447
7,27.0,Corn (Silage),Corn,8.686880488101272,8.536643068664652,220.6467643977723,216.83073394408217
8,27.0,Corn (Silage),Corn,8.501324202064657,8.2502701624027,215.93363473244227,209.55686212502857
9,27.0,Corn (Silage),Corn,2.724896859529647,2.083550158189807,69.21238023205304,52.92217401802109
10,27.0,Corn (Silage),Corn,0.5815916874946553,-0.1348911520495112,14.772428862364244,-3.4262352620575856
Season,27.0,Corn (Silage),Corn,29.032517477112563,24.87312376492981,737.4259439186591,631.7773436292172
